,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
89,Santa Fe Stock Investors Idea Exchange,Santa Fe,US,4.79,1415817321000,101,,,career/business,,0,,
90,studio 316a drawing group,Santa Fe,US,0,1418255863000,50,,,fine arts/culture,,0,,
91,Los Alamos Lesbian Social Networking Meetup,Los Alamos,US,0,1418678055000,44,,,LGBT,,0,,
92,Aspen Wellness Walkers,Santa Fe,US,4.93,1420528959000,59,,,fitness,,0,,
93,Just DANCE Santa Fe,Santa Fe,US,4.9,1420648333000,224,,,dancing,,0,,
94,Santa Fe Task Masters Meetup,Santa Fe,US,0,1421122318000,7,,,socializing,,0,,
95,Santa Fe Libertarian Meetup,Santa Fe,US,0,1421599154000,26,,,movements/politics,,0,,
96,Santa Fe Startup Founder 101,Santa Fe,US,4.71,1421963409000,162,,,career/business,,0,,
97,"Sangre de Cristo Needlepointers (Santa Fe, NM)",Santa Fe,US,5,1422056727000,24,,,hobbies/crafts,,0,,
98,Santa Fe Sunrise Toastmasters Meetup,Santa Fe,US,0,1422987851000,48,,,career/business,,0,,
99,"Santa Fe Nerds, Geeks and Gamers Meetup.",Santa Fe,US,4.96,1423091169000,80,,,sci-fi/fantasy,,0,,
100,Los Alamos Luna Chics Full Moon Firecircle Dance,Los Alamos,US,0,1423280911000,28,,,new age/spirituality,,0,,
101,Access Consciousness Meetup,Santa Fe,US,0,1423456684000,27,,,new age/spirituality,,0,,
102,Business Referrals of Santa Fe,Santa Fe,US,4.95,1423622588000,53,,,career/business,,0,,
103,Workshops For Personal Growth,Santa Fe,US,0,1424209038000,150,,,new age/spirituality,,0,,
104,Santa Fe 20s and 30s Ladies Book Club,Santa Fe,US,5,1424230703000,46,,,socializing,,0,,
105,Santa Fe Investment and Real Estate Networking Meetup,Santa Fe,US,4.67,1424704710000,54,,,career/business,,0,,
106,Santa Fe Single Moms and Dads,Santa Fe,US,0,1426715256000,57,,,parents/family,,0,,
